Date;Code INSEE region;Region;Vitesse du vent a 100m (m/s);Rayonnement solaire (W/m2)
2016-01-01;11;Ile-de-France;8.842857142857143;44.57
2016-01-01;24;Centre-Val de Loire;9.200000000000001;41.425714285714285
2016-01-01;27;Bourgogne-Franche-Comte;6.178571428571429;43.89714285714285
2016-01-01;28;Normandie;10.808571428571428;23.729999999999997
2016-01-01;32;Hauts-de-France;8.911428571428571;37.291428571428575
2016-01-01;44;Grand Est;5.821428571428571;42.269999999999996
2016-01-01;52;Pays de la Loire;12.057142857142859;36.78142857142857
2016-01-01;53;Bretagne;14.272857142857143;21.274285714285714
2016-01-01;75;Nouvelle-Aquitaine;8.102857142857143;67.29285714285714
2016-01-01;76;Occitanie;6.36;51.43857142857143
2016-01-01;84;Auvergne-Rhone-Alpes;3.27;62.294285714285714
2016-01-01;93;Provence-Alpes-Cote d'Azur;6.594285714285713;67.95142857142858
2016-01-02;11;Ile-de-France;9.725;35.715
2016-01-02;24;Centre-Val de Loire;9.75375;42.769999999999996
2016-01-02;27;Bourgogne-Franche-Comte;6.81125;27.32125
2016-01-02;28;Normandie;11.315;17.47
2016-01-02;32;Hauts-de-France;9.7825;31.28125
2016-01-02;44;Grand Est;6.7162500000000005;20.42625
2016-01-02;52;Pays de la Loire;12.23875;35.13
2016-01-02;53;Bretagne;14.79;20.51
2016-01-02;75;Nouvelle-Aquitaine;8.5075;50.072500000000005
2016-01-02;76;Occitanie;6.15625;42.40625
2016-01-02;84;Auvergne-Rhone-Alpes;3.31375;26.57
2016-01-02;93;Provence-Alpes-Cote d'Azur;7.4875;27.466250000000002
2016-01-03;11;Ile-de-France;10.17875;11.0675
2016-01-03;24;Centre-Val de Loire;10.45125;13.817499999999999
2016-01-03;27;Bourgogne-Franche-Comte;7.297499999999999;35.52625
2016-01-03;28;Normandie;11.6425;8.11375
2016-01-03;32;Hauts-de-France;10.17;12.41375
2016-01-03;44;Grand Est;7.29125;29.8525
2016-01-03;52;Pays de la Loire;12.78875;6.91
2016-01-03;53;Bretagne;14.60875;24.03625
2016-01-03;75;Nouvelle-Aquitaine;8.775;13.75
2016-01-03;76;Occitanie;5.7375;48.30625
2016-01-03;84;Auvergne-Rhone-Alpes;3.42;47.06
2016-01-03;93;Provence-Alpes-Cote d'Azur;7.7775;65.32375
2016-01-04;11;Ile-de-France;9.185;51.33625
